title,author,description,genres,pages,rating
Mere Christianity,C.S. Lewis,"Mere Christianity is C.S. Lewis's forceful and accessible doctrine of Christian belief. First heard as informal radio broadcasts and then published as three separate books — The Case for Christianity, Christian Behavior, and Beyond Personality — Mere Christianity brings together what Lewis saw as the fundamental truths of the religion. Rejecting the boundaries that divide Christianity's many denominations, C.S. Lewis finds a common ground on which all those who have Christian faith can stand together, proving that ""at the centre of each there is something, or a Someone, who against all divergences of belief, all differences of temperament, all memories of mutual persecution, speaks the same voice.""","{'Theology', 'Christian', 'Religion', 'Classics', 'Christianity', 'Philosophy', 'Nonfiction'}","98 pages, Kindle Edition",4.35
The Screwtape Letters,C.S. Lewis,"The Screwtape Letters by C.S.  Lewis is a classic masterpiece of religious satire that entertains readers with its sly and ironic portrayal of human life and foibles from the vantage point of Screwtape, a highly placed assistant to ""Our Father Below."" At once wildly comic, deadly serious, and strikingly original, C.S. Lewis's The Screwtape Letters is the most engaging account of temptation—and triumph over it—ever written. ","{'Theology', 'Religion', 'Fantasy', 'Classics', 'Christianity', 'Fiction', 'Christian'}","222 pages, Kindle Edition",4.26
The Great Divorce,C.S. Lewis,"Alternative cover for ISBN: 978-0-00-746123-3C.S. Lewis’ The Great Divorce is a classic Christian allegorical tale about a bus ride from hell to heaven. An extraordinary meditation upon good and evil, grace and judgment, Lewis’s revolutionary idea in the The Great Divorce is that the gates of Hell are locked from the inside. Using his extraordinary descriptive powers, Lewis’ The Great Divorce will change the way we think about good and evil.","{'Theology', 'Religion', 'Fantasy', 'Classics', 'Fiction', 'Christianity', 'Christian'}","146 pages, Paperback",4.30
Confessions,Augustine of Hippo,"Augustine's Confessions is one of the most influential and most innovative works of Latin literature. Written in the author's early forties in the last years of the fourth century A.D. and during his first years as a bishop, they reflect on his life and on the activity of remembering and interpreting a life. Books I-IV are concerned with infancy and learning to talk, schooldays, sexual desire and adolescent rebellion, intense friendships and intellectual exploration. Augustine evolves and analyses his past with all the resources of the reading which shaped his mind: Virgil and Cicero, Neoplatonism and the Bible. This volume, which aims to be usable by students who are new to Augustine, alerts readers to the verbal echoes and allusions of Augustine's brilliant and varied Latin, and explains his theological and philosophical questioning of what God is and what it is to be human. The edition is intended for use by students and scholars of Latin literature, theology and Church history.","{'Theology', 'Christian', 'Religion', 'Classics', 'Philosophy', 'Biography', 'Nonfiction'}","341 pages, Paperback",3.95
The Problem of Pain,C.S. Lewis,"For centuries people have been tormented by one question above all: If God is good and all-powerful, why does he allow his creatures to suffer pain? And what of the suffering of animals, who neither deserve pain nor can be improved by it?The greatest Christian thinker of our time sets out to disentangle this knotty issue. With his signature wealth of compassion and insight, C. S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungry for a true understanding of human nature.","{'Theology', 'Christian', 'Religion', 'Christianity', 'Philosophy', 'Faith', 'Nonfiction'}","162 pages, Paperback",4.12
The Pilgrim's Progress,John Bunyan,"This famous story of man's progress through life in search of salvation remains one of the most entertaining allegories of faith ever written. Set against realistic backdrops of town and country, the powerful drama of the pilgrim's trials and temptations follows him in his harrowing journey to the Celestial City.Along a road filled with monsters and spiritual terrors, Christian confronts such emblematic characters as Worldly Wiseman, Giant Despair, Talkative, Ignorance, and the demons of the Valley of the Shadow of Death. But he is also joined by Hopeful and Faithful.An enormously influential 17th-century classic, universally known for its simplicity, vigor, and beauty of language, The Pilgrim's Progress remains one of the most widely read books in the English language.","{'Christian Fiction', 'Theology', 'Religion', 'Fiction', 'Classics', 'Christianity', 'Christian'}","324 pages, Paperback",4.04
A Grief Observed,C.S. Lewis,"Written with love, humility, and faith, this brief but poignant volume was first published in 1961 and concerns the death of C. S. Lewis's wife, the American-born poet Joy Davidman. In her introduction to this new edition, Madeleine L'Engle writes: ""I am grateful to Lewis for having the courage to yell, to doubt, to kick at God in angry violence. This is a part of a healthy grief which is not often encouraged. It is helpful indeed that C. S. Lewis, who has been such a successful apologist for Christianity, should have the courage to admit doubt about what he has so superbly proclaimed. It gives us permission to admit our own doubts, our own angers and anguishes, and to know that they are part of the soul's growth.""Written in longhand in notebooks that Lewis found in his home, A Grief Observed probes the ""mad midnight moments"" of Lewis's mourning and loss, moments in which he questioned what he had previously believed about life and death, marriage, and even God. Indecision and self-pity assailed Lewis. ""We are under the harrow and can't escape,"" he writes. ""I know that the thing I want is exactly the thing I can never get. The old life, the jokes, the drinks, the arguments, the lovemaking, the tiny, heartbreaking commonplace."" Writing A Grief Observed as ""a defense against total collapse, a safety valve,"" he came to recognize that ""bereavement is a universal and integral part of our experience of love.""Lewis writes his statement of faith with precision, humor, and grace. Yet neither is Lewis reluctant to confess his continuing doubts and his awareness of his own human frailty. This is precisely the quality which suggests that A Grief Observed may become ""among the great devotional books of our age.""","{'Theology', 'Memoir', 'Religion', 'Classics', 'Christianity', 'Nonfiction', 'Christian'}","76 pages, Paperback",4.21
The Cost of Discipleship,Dietrich Bonhoeffer,"One of the most important theologians of the twentieth century illuminates the relationship between ourselves and the teachings of Jesus in this classic text on ethics, humanism, and civic duty.What can the call to discipleship, the adherence to the word of Jesus, mean today to the businessman, the soldier, the laborer, or the aristocrat? What did Jesus mean to say to us? What is his will for us today? Drawing on the Sermon on the Mount, Dietrich Bonhoeffer answers these timeless questions by providing a seminal reading of the dichotomy between ""cheap grace"" and ""costly grace."" ""Cheap grace,"" Bonhoeffer wrote, ""is the grace we bestow on ourselves...grace without discipleship....Costly grace is the gospel which must be sought again and again, the girl which must be asked for, the door at which a man must know....It is costly because it costs a man his life, and it is grace because it gives a man the only true life.""The Cost of Discipleship is a compelling statement of the demands of sacrifice and ethical consistency from a man whose life and thought were exemplary articulations of a new type of leadership inspired by the Gospel, and imbued with the spirit of Christian humanism and a creative sense of civic duty.","{'Christian Living', 'Theology', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","320 pages, Paperback",4.29
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,"Librarian's note: See alternate cover edition of ISBN 0785263705 here.""I never liked jazz music because jazz music doesn't resolve. I used to not like God because God didn't resolve. But that was before any of this happened."" ―Donald MillerIn Donald Miller's early years, he was vaguely familiar with a distant God. But when he came to know Jesus Christ, he pursued the Christian life with great zeal. Within a few years he had a successful ministry that ultimately left him feeling empty, burned out, and, once again, far away from God. In this intimate, soul-searching account, Miller describes his remarkable journey back to a culturally relevant, infinitely loving God.For anyone wondering if the Christian faith is still relevant in a postmodern culture.For anyone thirsting for a genuine encounter with a God who is real.For anyone yearning for a renewed sense of passion in  life.Blue Like Jazz is a fresh and original perspective on life, love, and redemption.","{'Spirituality', 'Memoir', 'Religion', 'Christianity', 'Nonfiction', 'Faith', 'Christian'}","243 pages, Paperback",3.90
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,"A #1 New York Times bestseller, The Purpose Driven Life will help you understand why you are alive and reveal God's amazing plan for you both here and now, and for eternity. Rick Warren will guide you through a personal forty-day spiritual journey that will transform your answer to life's most important question: What on earth am I here for? Knowing God's purpose for creating you will reduce your stress, focus your energy, simplify your decisions, give meaning to your life, and most important, prepare you for eternity. Movie stars and political leaders aren't the only ones turning to Rick Warren for spiritual guidance. Millions of people from NBA and LPGA players to corporate executives to high school students to prison inmates meet regularly to discuss The Purpose Driven Life.","{'Self Help', 'Spirituality', 'Christian', 'Religion', 'Christianity', 'Faith', 'Nonfiction'}","336 pages, Paperback",3.96
